DailyMaximumTemperature_AllYear_url,DailyMaximumTemperature_CurrentYear_url,DailyMeanTemperature_AllYear_url,DailyMeanTemperature_CurrentYear_url,DailyMinimumTemperature_AllYear_url,DailyMinimumTemperature_CurrentYear_url,WeatherStationName_en,WeatherStationName_sc,WeatherStationName_uc,GeometryLongitude,GeometryLatitude
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MINT_2024.csv,Cheung Chau,长洲,長洲,114.02666670000008,22.20111110000005
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MINT_2024.csv,Clear Water Bay,清水湾,清水灣,114.29972220000002,22.263333300000056
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MINT_2024.csv,Hong Kong International Airport,香港国际机场,香港國際機場,113.92194440000003,22.309444400000075
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MINT_2024.csv,Hong Kong Observatory,香港天文台,香港天文台,114.17416670000011,22.301944400000025
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MINT_2024.csv,Hong Kong Park,香港公园,香港公園,114.16222220000009,22.278333300000043
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MINT_2024.csv,Wong Chuk Hang,黄竹坑,黃竹坑,114.17361110000002,22.24777780000005
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MINT_2024.csv,Happy Valley,跑马地,跑馬地,114.18361110000001,22.270555600000023
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MINT_2024.csv,Tseung Kwan O,将军澳,將軍澳,114.2555556000001,22.315833300000065
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MINT_2024.csv,Kowloon City,九龙城,九龍城,114.18472220000001,22.335000000000036
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MAXT_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_TEMP_2024.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MINT_2024.csv,King's Park,京士柏,京士柏,114.17277780000006,22.311944400000073
